Total number of H bonds in one file: 9
ani   lbfgs/
0.3/    1.953    2.226    2.032   88.89
0.6/    1.944    3.486    2.058   86.67
0.9/    1.928    4.413    2.271   76.67
1.2/    1.922    6.497    2.717   57.78
1.5/    1.930    7.572    3.232   40.00
ani   lbfgs_b/
0.3/    1.953    2.231    2.032   97.78
0.6/    1.910    3.333    2.065   91.11
0.9/    1.899    4.269    2.350   68.89
1.2/    1.925    5.523    2.778   48.89
1.5/    1.922    7.520    3.289   34.44
ani   lbfgs_ase/
0.3/    1.953    2.223    2.032   88.89
0.6/    1.948    3.487    2.058   86.67
0.9/    1.940    4.516    2.269   77.78
1.2/    1.942    6.515    2.751   56.67
1.5/    1.943    7.515    3.218   42.22
cctbx   lbfgs/
0.3/    2.066    2.813    2.418   12.22
0.6/    1.991    3.334    2.538   16.67
0.9/    1.930    4.671    2.853    6.67
1.2/    2.065    5.759    3.282    5.56
1.5/    2.009    6.298    3.748    3.33
cctbx   lbfgs_b/
0.3/    1.954    2.779    2.335   23.33
0.6/    1.883    3.323    2.499   17.78
0.9/    1.877    4.616    2.849   11.11
1.2/    2.044    5.476    3.312    5.56
1.5/    2.015    6.380    3.761    3.33
cctbx   lbfgs_ase/
0.3/    1.928    2.770    2.331   24.44
0.6/    1.848    3.327    2.488   20.00
0.9/    1.875    4.592    2.848   12.22
1.2/    2.050    5.268    3.311    5.56
1.5/    2.002    6.349    3.761    3.33
